english,german,latin,system
left orbital content,Inhalt der linken Augenhöhle,Contentum orbitae sinistrae,concept
left parietal lobe,Linker Scheitellappen,Lobus parietalis sinister,concept
left parietal part of head,Linke Scheitelregion des Kopfes,Pars parietalis sinistra capitis,concept
left pectoral girdle,Linker Schultergürtel,Cingulum pectorale sinistrum,concept
left pectoral part of chest,Linke Brustregion,Pars pectoralis sinistra pectoris,concept
left pectoralis major,Linker großer Brustmuskel,Musculus pectoralis major sinister,concept
left pelvic girdle,Linker Beckengürtel,Cingulum pelvicum sinistrum,concept
left pontine artery,Linke Brückenarterie,Arteria pontis sinistra,concept
left posterior basal bronchopulmonary segment,Linkes hinteres basales Lungensegment,Segmentum bronchopulmonale basale posterius sinistrum,concept
left posterior bronchopulmonary segment,Linkes hinteres Lungensegment,Segmentum bronchopulmonale posterius sinistrum,concept
left posterior cerebral artery,Linke hintere Hirnarterie,Arteria cerebri posterior sinistra,concept
left posterior choroidal artery,Linke hintere Aderhautarterie,Arteria choroidea posterior sinistra,concept
left prefrontal cortex,Linker präfrontaler Kortex,Cortex prefrontalis sinister,concept
left pulmopleural compartment,Linkes Lungen-Pleura-Kompartiment,Compartimentum pulmopleurale sinistrum,concept
left ring finger,Linker Ringfinger,Digitus anularis sinister,concept
left second toe,Linke zweite Zehe,Digitus secundus pedis sinister,concept
left side of bony pelvis,Linke Hälfte des knöchernen Beckens,Latus sinistrum pelvis osseae,concept
left side of heart,Linke Herzhälfte,Latus cordis sinistrum,concept
left side of internal nose,Linke Seite der inneren Nase,Latus nasi interni sinistrum,concept
left side of rib cage,Linke Hälfte des Brustkorbskeletts,Latus sinistrum caveae thoracis,concept
left superior basal vein,Linke obere Basalvene,Vena basalis superior sinistra,concept
left superior bronchopulmonary segment,Linkes oberes Lungensegment,Segmentum bronchopulmonale superius sinistrum,concept
left temporal lobe,Linker Schläfenlappen,Lobus temporalis sinister,concept
left thigh,Linker Oberschenkel,Femur sinistrum,concept
left third toe,Linke dritte Zehe,Digitus tertius pedis sinister,concept
left thoraco-acromial artery,Linke Brust-Schulterhöhen-Arterie,Arteria thoracoacromialis sinistra,concept
left thumb,Linker Daumen,Pollex sinister,concept
left thyrocervical artery,Linker Schilddrüsen-Hals-Stamm,Truncus thyrocervicalis sinister,concept
left upper eyelid,Linkes Oberlid,Palpebra superior sinistra,concept
left upper limb,Linke obere Gliedmaße,Membrum superius sinistrum,concept
left upper lobar artery,Linke obere Lappenarterie,Arteria lobaris superior sinistra,concept
left upper lobar vein,Linke obere Lappenvene,Vena lobaris superior sinistra,concept
left upper urinary tract,Linke obere Harnwege,Tractus urinarius superior sinister,concept
left ventricle,Linke Herzkammer,Ventriculus sinister,concept
left wrist,Linkes Handgelenk,Carpus sinister,concept
lens,Linse,Lens,concept
levator palpebrae superioris,Oberlidheber,Musculus levator palpebrae superioris,concept
levator scapulae,Schulterblattheber,Musculus levator scapulae,concept
levator veli palatini,Gaumensegelheber,Musculus levator veli palatini,concept
ligament of larynx,Band des Kehlkopfs,Ligamentum laryngis,concept
ligament of limb,Band der Gliedmaße,Ligamentum membri,concept
ligament of lower limb,Band der unteren Gliedmaße,Ligamentum membri inferioris,concept
ligament organ,Band,Ligamentum,concept
ligament organ component,Bandkomponente,Componens ligamenti,concept
lingular vein,Lingula-Vene,Vena lingularis,concept
liver,Leber,Hepar,concept
lobar artery,Lappenarterie,Arteria lobaris,concept
lobe of cerebral hemisphere,Lappen der Großhirnhemisphäre,Lobus hemispherii cerebri,concept
lobe of thymus,Thymuslappen,Lobus thymi,concept
lobular organ,Läppchenorgan,Organum lobulare,concept
lobular organ component,Läppchenorgankomponente,Componens organi lobularis,concept
lobular segment,Läppchensegment,Segmentum lobulare,concept
lobule of cerebral hemisphere,Läppchen der Großhirnhemisphäre,Lobulus hemispherii cerebri,concept
long bone,Röhrenknochen,Os longum,concept
long ciliary nerve,Langer Ziliarnerv,Nervus ciliaris longus,concept
long head of biceps brachii,Langer Kopf des zweiköpfigen Oberarmmuskels,Caput longum musculi bicipitis brachii,concept
long head of biceps femoris,Langer Kopf des zweiköpfigen Schenkelmuskels,Caput longum musculi bicipitis femoris,concept
long head of triceps brachii,Langer Kopf des dreiköpfigen Oberarmmuskels,Caput longum musculi tricipitis brachii,concept
long plantar ligament,Langes Fußsohlenband,Ligamentum plantare longum,concept
longissimus,Längster Rückenmuskel,Musculus longissimus,concept
longissimus capitis,Längster Muskel des Kopfes,Musculus longissimus capitis,concept
longissimus cervicis,Längster Muskel des Halses,Musculus longissimus cervicis,concept
longissimus thoracis,Längster Muskel des Brustkorbs,Musculus longissimus thoracis,concept
longus capitis,Langer Kopfmuskel,Musculus longus capitis,concept
loose connective tissue,Lockeres Bindegewebe,Textus connectivus laxus,concept
lower central secondary incisor tooth,Unterer mittlerer Schneidezahn,Dens incisivus medialis inferior,concept
lower first secondary molar tooth,Unterer erster Molar,Dens molaris primus inferior,concept
lower first secondary premolar tooth,Unterer erster Prämolar,Dens premolaris primus inferior,concept
lower gastrointestinal tract,Unterer Magen-Darm-Trakt,Tractus gastrointestinalis inferior,concept
lower jaw,Unterkiefer,Mandibula,concept
lower lateral secondary incisor tooth,Unterer seitlicher Schneidezahn,Dens incisivus lateralis inferior,concept
lower limb,Untere Gliedmaße,Membrum inferius,concept
lower lobe of left lung,Unterlappen der linken Lunge,Lobus inferior pulmonis sinistri,concept
lower lobe of right lung,Unterlappen der rechten Lunge,Lobus inferior pulmonis dextri,concept
lower lobe part of left bronchial tree,Unterlappenteil des linken Bronchialbaums,Pars lobi inferioris arboris bronchialis sinistrae,concept
lower lobe part of right bronchial tree,Unterlappenteil des rechten Bronchialbaums,Pars lobi inferioris arboris bronchialis dextrae,concept
lower respiratory tract,Untere Atemwege,Tractus respiratorius inferior,concept
lower second secondary molar tooth,Unterer zweiter Molar,Dens molaris secundus inferior,concept
lower second secondary premolar tooth,Unterer zweiter Prämolar,Dens premolaris secundus inferior,concept
lower secondary canine tooth,Unterer Eckzahn,Dens caninus inferior,concept
lower secondary incisor tooth,Unterer Schneidezahn,Dens incisivus inferior,concept
lower secondary molar tooth,Unterer Molar,Dens molaris inferior,concept
lower secondary premolar tooth,Unterer Prämolar,Dens premolaris inferior,concept
lower urinary tract,Untere Harnwege,Tractus urinarius inferior,concept
lumbar intertransversarius,Zwischenquerfortsatzmuskel der Lende,Musculus intertransversarius lumborum,concept
lumbar rotator,Lendendrehmuskel,Musculus rotator lumborum,concept
lumbar vertebra,Lendenwirbel,Vertebra lumbalis,concept
lumbar vertebral column,Lendenwirbelsäule,Columna vertebralis lumbalis,concept
lumbrical of foot,Spulmuskel des Fußes,Musculus lumbricalis pedis,concept
lunate,Mondbein,Os lunatum,concept
main bronchus,Hauptbronchus,Bronchus principalis,concept
major alar cartilage,Großer Flügelknorpel,Cartilago alaris major,concept
major salivary gland,Große Speicheldrüse,Glandula salivaria major,concept
mandibular part of mouth,Unterkieferteil des Mundes,Pars mandibularis oris,concept
material anatomical entity,Materielle anatomische Entität,Ens anatomicum materiale,concept
maxilla,Oberkiefer,Maxilla,concept
maxillary part of mouth,Oberkieferteil des Mundes,Pars maxillaris oris,concept
medial basal segmental artery,Mediale basale Segmentarterie,Arteria segmentalis basalis medialis,concept
medial basal segmental bronchial tree,Medialer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis medialis,concept
medial basal segmental vein,Mediale basale Segmentvene,Vena segmentalis basalis medialis,concept
medial brachial vein,Mediale Oberarmvene,Vena brachialis medialis,concept
medial branch of left portal vein,Medialer Ast der linken Pfortader,Ramus medialis venae portae sinistrae,concept
medial branch of pontine artery,Medialer Ast der Brückenarterie,Ramus medialis arteriae pontis,concept
medial branch of superior cerebellar artery,Medialer Ast der oberen Kleinhirnarterie,Ramus medialis arteriae superioris cerebelli,concept
medial branch of superior segmental artery,Medialer Ast der oberen Segmentarterie,Ramus medialis arteriae segmentalis superioris,concept
medial bronchopulmonary segment,Mediales Lungensegment,Segmentum bronchopulmonale mediale,concept
medial circumflex femoral vein,Mediale Oberschenkel-Zirkumflexvene,Vena circumflexa femoris medialis,concept
medial collateral artery,Mittlere Kollateralarterie,Arteria collateralis media,concept
medial cuneiform bone,Inneres Keilbein,Os cuneiforme mediale,concept
medial frontobasal artery,Mediale Frontobasalarterie,Arteria frontobasalis medialis,concept
medial geniculate body,Medialer Kniehöcker,Corpus geniculatum mediale,concept
medial head of flexor hallucis brevis,Medialer Kopf des kurzen Großzehenbeugers,Caput mediale musculi flexoris hallucis brevis,concept
medial head of gastrocnemius,Medialer Kopf des Zwillingswadenmuskels,Caput mediale musculi gastrocnemii,concept
medial head of triceps brachii,Medialer Kopf des dreiköpfigen Oberarmmuskels,Caput mediale musculi tricipitis brachii,concept
medial occipital artery,Mediale Hinterhauptarterie,Arteria occipitalis medialis,concept
medial plantar artery,Mediale Fußsohlenarterie,Arteria plantaris medialis,concept
medial proper palmar digital artery of index finger,Mediale eigentliche Hohlhand-Fingerarterie des Zeigefingers,Arteria digitalis palmaris propria medialis indicis,concept
medial proper palmar digital artery of middle finger,Mediale eigentliche Hohlhand-Fingerarterie des Mittelfingers,Arteria digitalis palmaris propria medialis digiti medii,concept
medial proper palmar digital artery of ring finger,Mediale eigentliche Hohlhand-Fingerarterie des Ringfingers,Arteria digitalis palmaris propria medialis digiti anularis,concept
medial rectus,Innerer gerader Augenmuskel,Musculus rectus medialis,concept
medial segmental artery,Mediale Segmentarterie,Arteria segmentalis medialis,concept
medial segmental hepatic artery,Mediale Lebersegmentarterie,Arteria segmentalis hepatica medialis,concept
medial segmental vein,Mediale Segmentvene,Vena segmentalis medialis,concept
medial tributary of left hepatic biliary tree,Medialer Zufluss des linken Gallengangsystems,Ramus medialis arboris biliaris sinistri,concept
median antebrachial vein,Mittlere Unterarmvene,Vena mediana antebrachii,concept
median cubital vein,Mittlere Ellenbeugenvene,Vena mediana cubiti,concept
mediastinum,Mittelfellraum,Mediastinum,concept
mediobasal branch of posterior basal segmental artery,Mediobasaler Ast der hinteren basalen Segmentarterie,Ramus mediobasalis arteriae segmentalis basalis posterioris,concept
membrane organ,Membran,Membrana,concept
membrane organ component,Membrankomponente,Componens membranae,concept
membranous layer,Membranöse Schicht,Stratum membranosum,concept
mesentery of large intestine,Dickdarmgekröse,Mesocolon,concept
metacarpal bone,Mittelhandknochen,Os metacarpale,concept
metatarsal bone,Mittelfußknochen,Os metatarsale,concept
metencephalon,Hinterhirn,Metencephalon,concept
midbrain tectum,Mittelhirndach,Tectum mesencephali,concept
middle frontal gyrus,Mittlere Stirnwindung,Gyrus frontalis medius,concept
middle genicular artery,Mittlere Kniearterie,Arteria media genus,concept
middle lobar artery,Mittlere Lappenarterie,Arteria lobaris media,concept
middle lobar vein,Mittlere Lappenvene,Vena lobaris media,concept
middle lobe of lung,Mittellappen der Lunge,Lobus medius pulmonis,concept
middle lobe part of right bronchial tree,Mittellappenteil des rechten Bronchialbaums,Pars lobi medii arboris bronchialis dextrae,concept
middle mediastinum,Mittlerer Mittelfellraum,Mediastinum medium,concept
middle phalanx of fourth toe,Mittelphalanx der vierten Zehe,Phalanx media digiti quarti pedis,concept
middle phalanx of index finger,Mittelphalanx des Zeigefingers,Phalanx media indicis,concept
middle phalanx of little finger,Mittelphalanx des Kleinfingers,Phalanx media digiti minimi manus,concept
middle phalanx of little toe,Mittelphalanx der Kleinzehe,Phalanx media digiti minimi pedis,concept
middle phalanx of middle finger,Mittelphalanx des Mittelfingers,Phalanx media digiti medii,concept
middle phalanx of ring finger,Mittelphalanx des Ringfingers,Phalanx media digiti anularis,concept
middle phalanx of second toe,Mittelphalanx der zweiten Zehe,Phalanx media digiti secundi pedis,concept
middle phalanx of third toe,Mittelphalanx der dritten Zehe,Phalanx media digiti tertii pedis,concept
middle pharyngeal constrictor,Mittlerer Schlundschnürer,Musculus constrictor pharyngis medius,concept
middle suprarenal artery,Mittlere Nebennierenarterie,Arteria suprarenalis media,concept
middle temporal branch of lateral occipital artery,Mittlerer Schläfenast der seitlichen Hinterhauptarterie,Ramus temporalis medius arteriae occipitalis lateralis,concept
middle temporal branch of middle cerebral artery,Mittlerer Schläfenast der mittleren Hirnarterie,Ramus temporalis medius arteriae cerebri mediae,concept
middle temporal gyrus,Mittlere Schläfenwindung,Gyrus temporalis medius,concept
mitral valve,Mitralklappe,Valva mitralis,concept
molar tooth,Molar,Dens molaris,concept
mons pubis,Schamhügel,Mons pubis,concept
mouth,Mund,Os,concept
mucoid tissue,Gallertgewebe,Textus mucoideus,concept
muscle layer of large intestine,Muskelschicht des Dickdarms,Tunica muscularis intestini crassi,concept
muscle of abdomen,Muskel des Bauches,Musculus abdominis,concept
muscle of anterior abdominal wall,Muskel der vorderen Bauchwand,Musculus parietis abdominis anterioris,concept
muscle of anterior compartment of arm,Muskel der vorderen Oberarmloge,Musculus compartimenti brachii anterioris,concept
muscle of anterior compartment of forearm,Muskel der vorderen Unterarmloge,Musculus compartimenti antebrachii anterioris,concept
muscle of anterior compartment of leg,Muskel der vorderen Unterschenkelloge,Musculus compartimenti cruris anterioris,concept
muscle of anterior compartment of thigh,Muskel der vorderen Oberschenkelloge,Musculus compartimenti femoris anterioris,concept
muscle of arm,Muskel des Oberarms,Musculus brachii,concept
muscle of face,Muskel des Gesichts,Musculus faciei,concept
muscle of foot,Muskel des Fußes,Musculus pedis,concept
muscle of forearm,Muskel des Unterarms,Musculus antebrachii,concept
muscle of free lower limb,Muskel der freien unteren Gliedmaße,Musculus partis liberae membri inferioris,concept
muscle of free upper limb,Muskel der freien oberen Gliedmaße,Musculus partis liberae membri superioris,concept
muscle of hand,Muskel der Hand,Musculus manus,concept
muscle of head,Muskel des Kopfes,Musculus capitis,concept
muscle of larynx,Muskel des Kehlkopfs,Musculus laryngis,concept
muscle of lateral compartment of leg,Muskel der seitlichen Unterschenkelloge,Musculus compartimenti cruris lateralis,concept
muscle of leg,Muskel des Unterschenkels,Musculus cruris,concept
muscle of lower limb,Muskel der unteren Gliedmaße,Musculus membri inferioris,concept
muscle of medial compartment of thigh,Muskel der medialen Oberschenkelloge,Musculus compartimenti femoris medialis,concept
muscle of neck,Muskel des Halses,Musculus colli,concept
muscle of palate,Muskel des Gaumens,Musculus palati,concept
muscle of pectoral girdle,Muskel des Schultergürtels,Musculus cinguli pectoralis,concept
muscle of pelvic girdle,Muskel des Beckengürtels,Musculus cinguli pelvici,concept
muscle of pelvis,Muskel des Beckens,Musculus pelvis,concept
muscle of pharynx,Muskel des Rachens,Musculus pharyngis,concept
muscle of posterior compartment of arm,Muskel der hinteren Oberarmloge,Musculus compartimenti brachii posterioris,concept
muscle of posterior compartment of forearm,Muskel der hinteren Unterarmloge,Musculus compartimenti antebrachii posterioris,concept
muscle of posterior compartment of leg,Muskel der hinteren Unterschenkelloge,Musculus compartimenti cruris posterioris,concept
muscle of posterior compartment of thigh,Muskel der hinteren Oberschenkelloge,Musculus compartimenti femoris posterioris,concept
muscle of shoulder,Muskel der Schulter,Musculus regionis deltoideae,concept
muscle of thigh,Muskel des Oberschenkels,Musculus femoris,concept
muscle of thorax,Muskel des Brustkorbs,Musculus thoracis,concept
muscle of tongue,Muskel der Zunge,Musculus linguae,concept
muscle of trunk,Muskel des Rumpfes,Musculus trunci,concept
muscle of upper limb,Muskel der oberen Gliedmaße,Musculus membri superioris,concept
muscle of vertebral column,Muskel der Wirbelsäule,Musculus columnae vertebralis,concept
muscle organ,Muskel,Musculus,concept
musculature,Muskulatur,Musculatura,concept
musculature of abdomen,Muskulatur des Bauches,Musculatura abdominis,concept
musculature of anterior abdominal wall,Muskulatur der vorderen Bauchwand,Musculatura parietis abdominis anterioris,concept
musculature of chest,Muskulatur der Brust,Musculatura pectoris,concept
musculature of subdivision of free upper limb,Muskulatur des Abschnitts der freien oberen Gliedmaße,Musculatura subdivisionis partis liberae membri superioris,concept
musculature of subdivision of trunk,Muskulatur des Rumpfabschnitts,Musculatura subdivisionis trunci,concept
musculature of subdivision of upper limb,Muskulatur des Abschnitts der oberen Gliedmaße,Musculatura subdivisionis membri superioris,concept
musculophrenic artery,Muskel-Zwerchfell-Arterie,Arteria musculophrenica,concept
musculophrenic vein,Muskel-Zwerchfell-Vene,Vena musculophrenica,concept
musculoskeletal system,Bewegungsapparat,Systema musculoskeletale,concept
mylohyoid,Kiefer-Zungenbein-Muskel,Musculus mylohyoideus,concept
myocardial zone 11,Myokardzone 11,Zona myocardii 11,concept
myocardial zone 12,Myokardzone 12,Zona myocardii 12,concept
myocardial zone 4,Myokardzone 4,Zona myocardii 4,concept
myocardium of free wall of left ventricle,Myokard der freien Wand der linken Herzkammer,Myocardium parietis liberi ventriculi sinistri,concept
myocardium of free wall of right ventricle,Myokard der freien Wand der rechten Herzkammer,Myocardium parietis liberi ventriculi dextri,concept
myocardium of inferior wall of left ventricle,Myokard der unteren Wand der linken Herzkammer,Myocardium parietis inferioris ventriculi sinistri,concept
myocardium of lateral wall of left ventricle,Myokard der seitlichen Wand der linken Herzkammer,Myocardium parietis lateralis ventriculi sinistri,concept
myocardium of left ventricle,Myokard der linken Herzkammer,Myocardium ventriculi sinistri,concept
myocardium of left ventricle proper,Myokard der linken eigentlichen Herzkammer,Myocardium ventriculi proprii sinistri,concept
myocardium of right ventricle,Myokard der rechten Herzkammer,Myocardium ventriculi dextri,concept
myocardium of right ventricle proper,Myokard der rechten eigentlichen Herzkammer,Myocardium ventriculi proprii dextri,concept
nasal bone,Nasenbein,Os nasale,concept
nasal cartilage,Nasenknorpel,Cartilago nasi,concept
nasal septum,Nasenscheidewand,Septum nasi,concept
nasal skeleton,Nasenskelett,Skeleton nasi,concept
nasociliary nerve,Nasoziliarnerv,Nervus nasociliaris,concept
nasolacrimal duct,Tränen-Nasen-Gang,Ductus nasolacrimalis,concept
navicular bone of foot,Kahnbein des Fußes,Os naviculare pedis,concept
neck,Hals,Collum,concept
nerve,Nerv,Nervus,concept
nerve trunk,Nervenstamm,Truncus nervi,concept
nervous system,Nervensystem,Systema nervosum,concept
neural tree organ,Nervenbaumorgan,Organum arboris nervosae,concept
neuraxis,Neuraxis,Neuraxis,concept
neurocranium,Hirnschädel,Neurocranium,concept
ninth rib,Neunte Rippe,Costa nona,concept
ninth thoracic intervertebral symphysis,Neunte Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica nona,concept
nonparenchymatous organ,Nichtparenchymatöses Organ,Organum non parenchymatosum,concept
nonskeletal ligament,Nichtskelettales Band,Ligamentum non skeletale,concept
nose,Nase,Nasus,concept
nuclear complex of neuraxis,Kernkomplex der Neuraxis,Complexus nuclearis neuraxis,concept
nucleus of brain,Kern des Gehirns,Nucleus encephali,concept
nucleus of neuraxis,Kern der Neuraxis,Nucleus neuraxis,concept
nucleus of thalamus,Kern des Thalamus,Nucleus thalami,concept
oblique arytenoid,Schräger Stellknorpelmuskel,Musculus arytenoideus obliquus,concept
oblique head of adductor hallucis,Schräger Kopf des Großzehenanziehers,Caput obliquum musculi adductoris hallucis,concept
oblique head of adductor pollicis,Schräger Kopf des Daumenanziehers,Caput obliquum musculi adductoris pollicis,concept
oblique part of cricothyroid,Schräger Anteil des Ringknorpel-Schildknorpel-Muskels,Pars obliqua musculi cricothyroidei,concept
obliquus capitis inferior,Unterer schräger Kopfmuskel,Musculus obliquus capitis inferior,concept
obliquus capitis superior,Oberer schräger Kopfmuskel,Musculus obliquus capitis superior,concept
obturator externus,Äußerer Hüftlochmuskel,Musculus obturatorius externus,concept
obturator internus,Innerer Hüftlochmuskel,Musculus obturatorius internus,concept
obturator muscle,Hüftlochmuskel,Musculus obturatorius,concept
obturator vein,Hüftlochvene,Vena obturatoria,concept
occipital lobe,Hinterhauptslappen,Lobus occipitalis,concept
occipital part of head,Hinterhauptregion des Kopfes,Pars occipitalis capitis,concept
omohyoid,Schulterblatt-Zungenbein-Muskel,Musculus omohyoideus,concept
ophthalmic artery,Augenarterie,Arteria ophthalmica,concept
ophthalmic nerve,Augennerv,Nervus ophthalmicus,concept
opponens digiti minimi of foot,Kleinzehengegensteller des Fußes,Musculus opponens digiti minimi pedis,concept
opponens digiti minimi of hand,Kleinfingergegensteller der Hand,Musculus opponens digiti minimi manus,concept
opponens pollicis,Daumengegensteller,Musculus opponens pollicis,concept
optic nerve,Sehnerv,Nervus opticus,concept
optic part of retina,Optischer Teil der Netzhaut,Pars optica retinae,concept
optic tract,Sehbahn,Tractus opticus,concept
orbital part of left eye,Augenhöhlenteil des linken Auges,Pars orbitalis oculi sinistri,concept
orbital part of right eye,Augenhöhlenteil des rechten Auges,Pars orbitalis oculi dextri,concept
organ,Organ,Organum,concept
organ cavity subdivision,Organhöhlenabschnitt,Subdivisio cavitatis organi,concept
organ chamber,Organkammer,Camera organi,concept
organ component,Organkomponente,Componens organi,concept
organ component cluster,Organkomponenten-Cluster,Aggregatum componentium organi,concept
organ component gland,Drüsenkomponente eines Organs,Glandula componens organi,concept
organ component layer,Schichtkomponente eines Organs,Stratum componens organi,concept
organ component of neuraxis,Organkomponente der Neuraxis,Componens organi neuraxis,concept
organ part cluster,Organteil-Cluster,Aggregatum partium organi,concept
organ region,Organregion,Regio organi,concept
organ segment,Organsegment,Segmentum organi,concept
organ with cavitated organ parts,Organ mit hohlraumhaltigen Teilen,Organum cum partibus cavitatis,concept
organ with organ cavity,Organ mit Organhöhle,Organum cum cavitate,concept
organ zone,Organzone,Zona organi,concept
osseous skeleton of external nose,Knochenskelett der äußeren Nase,Sceletum osseum nasi externi,concept
osseous skeleton of internal nose,Knochenskelett der inneren Nase,Sceletum osseum nasi interni,concept
osseous skeleton of nose,Knochenskelett der Nase,Sceletum osseum nasi,concept
outflow part of left atrium,Ausflussteil des linken Vorhofs,Pars efferens atrii sinistri,concept
outflow part of left ventricle,Ausflussteil der linken Herzkammer,Pars efferens ventriculi sinistri,concept
outflow part of right atrium,Ausflussteil des rechten Vorhofs,Pars efferens atrii dextri,concept
outflow part of right ventricle,Ausflussteil der rechten Herzkammer,Pars efferens ventriculi dextri,concept
palatine bone,Gaumenbein,Os palatinum,concept
palatopharyngeus,Gaumen-Rachen-Muskel,Musculus palatopharyngeus,concept
palmar metacarpal artery,Hohlhand-Mittelhandarterie,Arteria metacarpalis palmaris,concept
palmar metacarpal vein,Hohlhand-Mittelhandvene,Vena metacarpalis palmaris,concept
palmaris longus,Langer Hohlhandmuskel,Musculus palmaris longus,concept
pancreatic artery,Pankreasarterie,Arteria pancreatica,concept
pancreaticobiliary system,Pankreatikobiliäres System,Systema pancreaticobiliare,concept
papillary muscle of left ventricle,Papillarmuskel der linken Herzkammer,Musculus papillaris ventriculi sinistri,concept
papillary muscle of right ventricle,Papillarmuskel der rechten Herzkammer,Musculus papillaris ventriculi dextri,concept
paracentral branch of callosomarginal artery,Parazentraler Ast der Callosomarginalarterie,Ramus paracentralis arteriae callosomarginalis,concept
parahippocampal gyrus,Parahippocampale Windung,Gyrus parahippocampalis,concept
parasympathetic ganglion,Parasympathisches Ganglion,Ganglion parasympathicum,concept
parenchyma,Parenchym,Parenchyma,concept
parenchymatous organ,Parenchymatöses Organ,Organum parenchymatosum,concept
parietal bone,Scheitelbein,Os parietale,concept
patella,Kniescheibe,Patella,concept
patellar part of left knee,Kniescheibenteil des linken Knies,Pars patellaris genus sinistri,concept
patellar part of right knee,Kniescheibenteil des rechten Knies,Pars patellaris genus dextri,concept
pectineus,Kammmuskel,Musculus pectineus,concept
pectoral branch of thoraco-acromial artery,Brustast der Brust-Schulterhöhen-Arterie,Ramus pectoralis arteriae thoracoacromialis,concept
pectoral muscle,Brustmuskel,Musculus pectoralis,concept
pectoral part of left pectoral girdle,Brustteil des linken Schultergürtels,Pars pectoralis cinguli pectoralis sinistri,concept
pectoral part of right pectoral girdle,Brustteil des rechten Schultergürtels,Pars pectoralis cinguli pectoralis dextri,concept
pectoralis minor,Kleiner Brustmuskel,Musculus pectoralis minor,concept
peduncle of neuraxis,Stiel der Neuraxis,Pedunculus neuraxis,concept
pelvic girdle,Beckengürtel,Cingulum pelvicum,concept
pelvic skeleton,Beckenskelett,Skeleton pelvis,concept
pelvic wall,Beckenwand,Paries pelvis,concept
pelvis,Becken,Pelvis,concept
pericallosal artery,Perikallosalarterie,Arteria pericallosa,concept
perineal muscle,Dammmuskel,Musculus perinei,concept
perineum,Damm,Perineum,concept
peritoneal mesentery,Peritoneales Gekröse,Mesenterium peritoneale,concept
peritoneal sac,Bauchfellsack,Saccus peritonealis,concept
peritoneum,Bauchfell,Peritoneum,concept
phalanx of big toe,Phalanx der Großzehe,Phalanx hallucis,concept
phalanx of finger,Phalanx des Fingers,Phalanx digiti manus,concept
phalanx of fourth toe,Phalanx der vierten Zehe,Phalanx digiti quarti pedis,concept
phalanx of index finger,Phalanx des Zeigefingers,Phalanx indicis,concept
phalanx of little finger,Phalanx des Kleinfingers,Phalanx digiti minimi manus,concept
phalanx of little toe,Phalanx der Kleinzehe,Phalanx digiti minimi pedis,concept
phalanx of middle finger,Phalanx des Mittelfingers,Phalanx digiti medii,concept
phalanx of ring finger,Phalanx des Ringfingers,Phalanx digiti anularis,concept
phalanx of second toe,Phalanx der zweiten Zehe,Phalanx digiti secundi pedis,concept
phalanx of third toe,Phalanx der dritten Zehe,Phalanx digiti tertii pedis,concept
phalanx of thumb,Phalanx des Daumens,Phalanx pollicis,concept
phalanx of toe,Phalanx der Zehe,Phalanx digiti pedis,concept
physical anatomical entity,Physische anatomische Entität,Ens anatomicum physicum,concept
piriformis,Birnenförmiger Muskel,Musculus piriformis,concept
pisiform,Erbsenbein,Os pisiforme,concept
plantar arch,Fußsohlenbogen,Arcus plantaris,concept
plantar interosseous of foot,Sohlenzwischenknochenmuskel des Fußes,Musculus interosseus plantaris pedis,concept
plantar tarsal ligament,Fußsohlen-Fußwurzelband,Ligamentum tarsi plantare,concept
plantar venous arch of foot,Fußsohlen-Venenbogen,Arcus venosus plantaris pedis,concept
plantaris,Langer Sohlenmuskel,Musculus plantaris,concept
platysma,Hautmuskel des Halses,Platysma,concept
pneumatized bone,Pneumatisierter Knochen,Os pneumaticum,concept
polar temporal artery,Polare Schläfenlappenarterie,Arteria polaris temporalis,concept
popliteal artery,Kniekehlenarterie,Arteria poplitea,concept
popliteal vein,Kniekehlenvene,Vena poplitea,concept
popliteus,Kniekehlenmuskel,Musculus popliteus,concept
portal vein,Pfortader,Vena portae,concept
portal venous system,Pfortadersystem,Systema venae portae,concept
portal venous tree,Pfortaderbaum,Arbor venae portae,concept
portion of connective tissue,Bindegewebsanteil,Portio textus connectivi,concept
portion of tissue,Gewebeanteil,Portio textus,concept
postcentral gyrus,Hintere Zentralwindung,Gyrus postcentralis,concept
postcommunicating part of posterior cerebral artery,Postkommunikaler Teil der hinteren Hirnarterie,Pars postcommunicalis arteriae cerebri posterioris,concept
posterior abdominal wall,Hintere Bauchwand,Paries abdominis posterior,concept
posterior basal segmental artery,Hintere basale Segmentarterie,Arteria segmentalis basalis posterior,concept
posterior basal segmental bronchial tree,Hinterer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis posterior,concept
posterior basal segmental vein,Hintere basale Segmentvene,Vena segmentalis basalis posterior,concept
posterior branch of right portal vein,Hinterer Ast der rechten Pfortader,Ramus posterior venae portae dextrae,concept
posterior chest,Hintere Brust,Pectus posterius,concept
posterior circumflex humeral artery,Hintere Oberarm-Zirkumflexarterie,Arteria circumflexa humeri posterior,concept
posterior communicating artery,Hintere Verbindungsarterie,Arteria communicans posterior,concept
posterior crico-arytenoid,Hinterer Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus posterior,concept
posterior division of renal artery,Hinterer Ast der Nierenarterie,Ramus posterior arteriae renalis,concept
